Venue,latitude,longitude,Suburb,Address,Number of tennis courts,Booking details
Algester State School,-27.615549,153.030034,Algester,"19 Endiandra Street, Algester",2,07 3712 5111
Junction Park State School,-27.509708,153.034015,Annerley,"50 Waldheim Street, Annerley",2,Email Junction Park Tennis Club - junctionparktennis@gmail.com
Ascot State School,-27.427997,153.053968,Ascot,"Reeve Street, Ascot",2,07 3326 9333
Ashgrove State School,-27.447186,152.976894,Ashgrove,"Glory Street, Ashgrove",2,07 3366 4836
Oakleigh State School,-27.436196,152.985612,Ashgrove,"Buxton Street, Ashgrove",2,"07 3510 2888 (business hours)
07 3366 6537 (after hours)"
Bardon State School,-27.46076,152.972214,Bardon,"330 Simpsons Road, Bardon",1,07 3511 4555
Carina State School,-27.492298,153.102293,Carina,"1413 Creek Road, Carina",1,07 3900 9666
Chapel Hill State School,-27.499801,152.94584,Chapel Hill,"Ironbark Road, Chapel Hill",2,0403 128 235
Craigslea State School,-27.383731,153.018098,Chermside West,"Hamilton Road, Chermside West",2,07 3350 8777
Kalinga Park,-27.407535,153.05177,Clayfield,"Kalinga Street, Clayfield",2,"Contact Gail Jones on 0411 421 346, Monday to Friday from 9am - 3pm. NOTE - bookings will only be taken during these hours and two days notice is required for a weekend booking."
Coorparoo State School,-27.493904,153.062009,Coorparoo,"327 Old Cleveland Road, Coorparoo",2,07 3421 0333
Corinda State School,-27.547731,152.981792,Corinda,"330 Cliveden Avenue, Corinda",3,0408 188 653
Darra State School,-27.570768,152.953192,Darra,"Winslow Street, Darra",1,07 3375 4285
Sandgate District Youth Tennis Association,-27.322629,153.061526,Deagon,"Deagon Sportsground Park, Board Street, Deagon",8,07 3269 7783
Dutton Park State School,-27.493764,153.028125,Dutton Park,"Annerley Road, Dutton Park",1,07 3010 8333
Corporation of the Synod of the Diocese of Brisbane (Anglican Church Grammar School),-27.478554,153.051599,East Brisbane,"Heath Park, Hilton Street, East Brisbane",4,0412 615 117
Killarney Street Park,-27.607092,152.947948,Ellen Grove,"Killarney Street, Ellen Grove",,See sign at tennis court
Enoggera State School,-27.417407,152.994653,Enoggera ,"235 South Pine Road, Enoggera",2,Email Enoggera State School - admin@enoggerass.edu.au
